product_id,valiation_id,ttl_color,c1_color,c1_proportion,c2_color,c2_proportion,c3_color,c3_proportion,c4_color,c4_proportion,c5_color,c5_proportion
10083731,865966,#C96166,#A71D21,0.09090909090909091,#E8C8C9,0.12121212121212122,#C8555B,0.1919191919191919,#C73237,0.3333333333333333,#CB8F92,0.26262626262626265
10083731,865972,#CD8F82,#F9ECE6,0.06432748538011696,#E99D8C,0.2046783625730994,#A65848,0.32748538011695905,#DCC8C3,0.2222222222222222,#D37D6D,0.18128654970760233
10083731,865973,#CD898C,#E1CCCB,0.25443786982248523,#E18B8F,0.3254437869822485,#994B4D,0.1893491124260355,#CE6B70,0.1834319526627219,#A28989,0.047337278106508875
10240456,1149088,#E7AB89,#EAA67D,0.11070304302203568,#D9855D,0.1329136061559986,#FBE4D0,0.15512416928996153,#C56F4D,0.22787688002798182,#F7C8A3,0.3733823015040224
10240456,1149089,#CB7F91,#A64660,0.1086380498145204,#ECCDD5,0.1342518989577813,#DDA2B0,0.14962020844373786,#B95971,0.21303656597774245,#CC7B8E,0.394453276806218
10240456,1159067,#DF88A4,#D05A7F,0.1600907029478458,#F1ABC3,0.16507936507936508,#BA3C61,0.19183673469387755,#DF7C9C,0.25170068027210885,#FCDBE8,0.23129251700680273
10240456,1171588,#DFBFB6,#B7766B,0.14557081060748542,#E5C9C0,0.10889599398156856,#D4AB9F,0.12036862892608614,#C68E81,0.14425427872860636,#F4E6E1,0.48091028775625355
10240456,1171589,#E1B6B5,#B45A5C,0.1340761374187558,#E9C3C0,0.10510677808727947,#D89D9A,0.12256267409470752,#C87876,0.13946146703806872,#F5E4E2,0.4987929433611885
10240456,1171590,#DC9E9B,#F7E6E4,0.15677574413015344,#DFA49F,0.11259012756516916,#C66C6C,0.12571639859493436,#ECC5C1,0.15788500647069698,#D38380,0.447032723239046
10240456,1149090,#B0736F,#A2524B,0.11561001598295152,#CEA09B,0.1434913869650151,#E8D3D0,0.18451429586219145,#B9776E,0.2221630261054875,#833433,0.33422127508435445
10240456,1149087,#C39691,#925A59,0.10675651711296329,#E8CFCA,0.13548501507359462,#BD8B86,0.1491399184252527,#A56C69,0.2050008866820358,#D5ACA5,0.40361766270615357
10240456,1149086,#B37175,#EAD7D5,0.09829363668681124,#AC595C,0.12317810167081408,#BE7F7F,0.17596871667259154,#D1A8A6,0.22218272307145395,#913943,0.38037682189832916
10202495,1080973,#EE8D9E,#FADDE3,0.060941828254847646,#D83557,0.10064635272391505,#E95571,0.1348107109879963,#EE8294,0.27362265312403816,#F4AEB9,0.42997845490920283
10202495,1080972,#F78546,#FDA066,0.14719411223551057,#FDC39E,0.1754063170806501,#EC5610,0.3462128181539405,#FE8136,0.3057344372891751,#FEE5D5,0.025452315240723705
10202495,1080970,#FDA6B1,#FC5F76,0.1197805547089302,#FDBEC6,0.14568729046022555,#FD9CA7,0.21548308442548003,#FDE0E4,0.28375495275830537,#FE7F8F,0.23529411764705882
10202495,1080971,#FD9D98,#FD9E96,0.12511584800741427,#FDE1DF,0.14334260117392647,#FE827A,0.20327463700957676,#FDBFBB,0.27494593759654,#FC6561,0.25332097621254246
10202495,1080975,#E69889,#C04D3B,0.08837066584841977,#EA8471,0.13194231359312672,#F2B0A3,0.17950291500460264,#D66753,0.3123657563669837,#F9DDD7,0.28781834918686716
10202495,1080974,#DC8297,#B83657,0.07986432315757015,#E79CAB,0.13382670366944188,#DB6983,0.19179771816219549,#F5D4DB,0.29509713228492135,#CA4968,0.2994141227258711
10202495,1080976,#D68F8C,#641C24,0.18783760236975083,#F5A49F,0.2312249520822443,#F7CFCA,0.349189754312598,#E67E75,0.20543648719289076,#AF4B53,0.026311204042516117
10207583,1171075,#A98C99,#CBB0C0,0.6033562166285278,#804950,0.14111365369946605,#9E6870,0.041952707856598014,#53424A,0.03813882532418002,#6D5E67,0.17543859649122806
10207583,1090089,#C6A5A0,#EADEDB,0.08503589177250138,#A85D56,0.1590281612368857,#C1A39E,0.1413583655438984,#A0827B,0.11374930977360574,#D3BBB6,0.5008282716731087
10207583,1090088,#D0B8B5,#D4BDB9,0.13739612188365652,#9C6161,0.08199445983379501,#AB8E88,0.1595567867036011,#E9DCD9,0.4598337950138504,#C3A5A0,0.16121883656509695
10207583,1090077,#CAAFAC,#BC6579,0.10698689956331878,#CBB4AF,0.1697598253275109,#BC9D94,0.1222707423580786,#E5D8D4,0.4306768558951965,#987D74,0.1703056768558952
10207583,1171074,#AC8591,#C3A1B3,0.5041635124905375,#8B5A5E,0.10219530658591976,#54444B,0.1332323996971991,#CEB4C4,0.07342922028766086,#B36F6F,0.18697956093868282
10207583,1090083,#C3A29E,#C0A39A,0.160734149054505,#912B34,0.0828698553948832,#9D8278,0.22024471635150167,#DFCFCB,0.4899888765294772,#AA3541,0.046162402669632924
10207583,1090082,#B38C82,#A88A81,0.16344561016013254,#C1A49B,0.4605190502484815,#AB372B,0.12755383765875208,#DFCFCB,0.06847045831032579,#8C7165,0.1800110436223081
10207583,1090080,#B98F89,#E0CECA,0.16154276131917272,#AA8C84,0.4622694242593628,#C1A49C,0.12353269983230855,#CC585A,0.16377864728898825,#8E756B,0.0888764673001677
10207583,1090081,#C9A59B,#9D8278,0.08918617614269789,#D2BCB6,0.12263099219620958,#CE5B43,0.12876254180602006,#E7D9D4,0.2157190635451505,#BFA298,0.443701226309922
10207583,1090091,#B3928A,#C2A5A0,0.5505494505494506,#733C29,0.1835164835164835,#A0847B,0.09945054945054944,#DECDC9,0.1412087912087912,#8E5139,0.025274725274725275
10207583,1090085,#C4A7A2,#9B8177,0.11086717892425905,#CBB6B0,0.41657519209659716,#E6D9D5,0.14873765093304062,#B0666E,0.12129527991218442,#BE9F96,0.20252469813391877
10207583,1090084,#AC8C87,#C1A49C,0.15168539325842698,#8E746A,0.4533707865168539,#E0D0CC,0.18202247191011237,#AB8D85,0.1252808988764045,#B65469,0.08764044943820225
10207583,1090090,#B27D6F,#C1A39E,0.15743280307185958,#A04E37,0.503565551289084,#D3BBB6,0.08392759188151398,#9F837A,0.13274821722435545,#E9DDDA,0.12232583653318706
10207583,1090079,#C8A79F,#CE6055,0.11123348017621146,#CDB7B1,0.42180616740088106,#9C8178,0.12169603524229075,#E7D9D4,0.138215859030837,#BEA097,0.20704845814977973
10207583,1090086,#A4746C,#9C8278,0.13253012048192772,#7D2E27,0.4539978094194962,#D4C2BD,0.06352683461117196,#BFA299,0.21631982475355968,#EBE1DC,0.13362541073384446
10207583,1090087,#C6A39F,#A04241,0.1612368856985091,#C1A39E,0.08337934842628382,#EADDDB,0.13473219215902815,#9F827B,0.12203202650469354,#D2BAB6,0.4986195472114854
10207583,1090078,#C4A197,#CCB7B0,0.11129476584022038,#9C8177,0.1206611570247934,#BEA097,0.4192837465564738,#BD5C4B,0.14490358126721764,#E7D9D4,0.20385674931129477
10195306,1079749,#D07286,#BD2343,0.06913106096975516,#F1D6DD,0.08401344215074412,#C5425E,0.09217474795967355,#D898A6,0.1958713394143063,#CC677D,0.5588094095055209
10195306,1073857,#813733,#921E13,0.07115198451113262,#BF857F,0.1122942884801549,#A54639,0.1868344627299129,#591212,0.5595353339787028,#E6CECB,0.0701839303000968
10195306,1079758,#9D786D,#895646,0.10479921645445642,#DAC9C2,0.21253672869735554,#B38F84,0.24877571008814886,#61392F,0.2840352595494613,#9F6E5E,0.14985308521057786
10195306,1073856,#D2CCC2,#F1EDE4,0.2889570552147239,#CBC3B8,0.31717791411042945,#B0A9A0,0.25030674846625767,#DDD5C9,0.0785276073619632,#E7E0D5,0.06503067484662577
10195306,1073858,#EA9CC1,#CE1469,0.07214524605828954,#E395B9,0.08122312470138557,#DC3680,0.09603440038222646,#DE6199,0.1978021978021978,#F6D5E7,0.5527950310559007
10195306,1079756,#C0746A,#AB3C2D,0.07607125662012518,#CE948C,0.11266249398170439,#EDD5D1,0.19547424169475205,#B95D51,0.5464612421762157,#7E281E,0.0693307655272027
10195306,1073859,#EE9295,#F1575B,0.07629558541266794,#F9DADB,0.11132437619961612,#F47477,0.1952975047984645,#EFA2A5,0.5422264875239923,#C13C3F,0.07485604606525911
10195306,1073861,#835058,#8B3845,0.06768023540951447,#E2CCD0,0.1118195193722413,#BC8F97,0.18979892103972534,#59232C,0.5586071603727317,#9E5A64,0.07209416380578715
10195306,1079747,#CF8597,#DA95A6,0.06926829268292684,#E3B6C2,0.10926829268292683,#A75668,0.19609756097560976,#D37D93,0.5497560975609757,#F2DDE2,0.07560975609756097
10195306,1079746,#9A5963,#AA4F5C,0.07111544081831467,#CB9CA3,0.10959571358986848,#B76E79,0.18753044325377496,#7B3640,0.5577204091573308,#E8D2D5,0.07403799318071115
10195306,1073860,#D497A2,#9A162E,0.06714975845410628,#D0949F,0.08019323671497584,#BE6373,0.09323671497584542,#AD3A4E,0.20193236714975846,#EDD1D7,0.557487922705314
